timestamp(UTC),score,temp,humid,co2,voc,pm25,pm10
12/15/2024 0:00,1,15.89,88.43,2924,250,43,45
12/15/2024 0:05,1,15.98,89.45,2938,255.4,40.8,42.8
12/15/2024 0:10,1.4,15.8,88.47,2933.8,255.2,40.2,42.2
12/15/2024 0:15,1.8,15.83,87.5,2935.6,250.6,40.8,42.8
12/15/2024 0:20,0.8,15.91,88.87,2943.4,252.4,42.2,44.2
12/15/2024 0:25,0.4,15.9,89.52,2949,258.6,41.6,43.6
12/15/2024 0:30,1.6,15.77,87.72,2943.8,250,40.6,42.6
12/15/2024 0:35,1,15.84,88.19,2960.4,250,40.8,42.8
12/15/2024 0:40,0,15.96,89.32,2979.8,261.8,43.4,45.4
12/15/2024 0:45,0.2,15.85,89.33,2978,255.8,42.4,44.4
12/15/2024 0:50,0.8,15.69,87.76,2978,258.6,40,42
12/15/2024 0:55,0,15.87,88.78,2992,250.8,42,44
12/15/2024 1:00,0,15.9,89.89,3003.4,262,41.4,43.4
12/15/2024 1:05,0.2,15.72,88.33,3008.4,261.4,41.4,43.4
12/15/2024 1:10,0.4,15.76,87.93,3014.8,260.4,41.2,43.2
12/15/2024 1:15,0,15.93,89.1,3014,258.8,44.2,46.2
12/15/2024 1:20,0,15.9,89.79,3024.2,264.8,41.2,43.2
12/15/2024 1:25,0.4,15.73,87.99,3021.6,259.8,40.6,42.6
12/15/2024 1:30,0,15.84,88.33,3032.75,261,41.75,43.75
12/15/2024 1:35,0,15.89,89.45,3041.4,266.6,43,45
12/15/2024 1:40,0,15.88,89.65,3043.6,270.4,42.6,44.6
12/15/2024 1:45,0,15.73,87.86,3038.6,262.6,42,44
12/15/2024 1:50,0,15.81,88.53,3053.8,262.4,42,44
12/15/2024 1:55,0,15.86,89.78,3066,268.6,42.4,44.4
12/15/2024 2:00,0,15.78,88.85,3063.6,264.4,41.6,43.6
12/15/2024 2:05,0,15.83,88.62,3070,264.2,40.6,42.6
12/15/2024 2:10,0,15.92,89.59,3093.4,266.6,43.4,45.4
12/15/2024 2:15,0,15.86,89.34,3090.8,269.2,43.8,45.8
12/15/2024 2:20,0,15.74,87.92,3069.4,261.8,40.8,42.8
12/15/2024 2:25,0.2,15.86,88.91,3023.2,255.8,42.4,44.4
12/15/2024 2:30,0,15.91,89.59,3007.6,260.8,43.2,45.2
12/15/2024 2:35,0.4,15.73,88.1,2994,252.6,41.6,43.6
12/15/2024 2:40,0,15.82,88.65,3000.6,262,42.4,44.4
12/15/2024 2:45,0,15.9,89.79,3009.2,263.4,43.4,45.4
12/15/2024 2:50,0,15.77,89.06,3006.6,259,43.8,45.8
12/15/2024 2:55,0,15.71,87.6,3013,259.4,42,44
12/15/2024 3:00,0,15.82,88.85,3030.8,262.2,44.8,46.8
12/15/2024 3:05,0,15.89,89.78,3043,264,44.2,46.2
12/15/2024 3:10,0,15.8,89.23,3032.8,261.8,44.4,46.4
12/15/2024 3:15,0,15.89,89.81,3045.4,260,45,47
12/15/2024 3:20,0,15.97,90.34,3058.4,271,45,47
12/15/2024 3:25,0,16.04,90.65,3063,266.4,46.8,48.8
12/15/2024 3:30,0,16.03,91.03,3065.4,276.6,45,47
12/15/2024 3:35,0,15.98,90.28,3051,268.4,46,48
12/15/2024 3:40,0,15.82,88.24,3055,269.2,43.2,45.2
12/15/2024 3:45,0,15.91,89.08,3074.4,267.6,42.8,44.8
12/15/2024 3:50,0,15.92,89.89,3079.6,265.4,43.8,45.8
12/15/2024 3:55,0,15.77,88.17,3074.2,261.4,43.4,45.4
12/15/2024 4:00,0,15.77,88.2,3082.2,265.4,43.2,45.2
12/15/2024 4:05,0,15.87,89.54,3093.2,267,42.2,44.2
12/15/2024 4:10,0,15.84,89.63,3098.2,267.8,44.8,46.8
12/15/2024 4:15,0,15.66,87.91,3092.4,267,42.6,44.6
12/15/2024 4:20,0,15.79,88.72,3098,259.4,44.8,46.8
12/15/2024 4:25,0,15.84,89.9,3111.6,265.2,46.2,48.2
12/15/2024 4:30,0,15.79,89.43,3110.6,263.8,44.8,46.8
12/15/2024 4:35,0,15.69,87.86,3114.2,263.8,42.2,44.2
12/15/2024 4:40,0,15.76,89.35,3129.4,270.6,43.6,45.6
12/15/2024 4:45,0,15.84,90.18,3138.25,267.5,44,46
12/15/2024 4:50,0,15.78,89.06,3128,265.6,45,47
12/15/2024 4:55,0,15.72,88.08,3137.6,266.6,44.4,46.4
12/15/2024 5:00,0,15.83,89.37,3143.8,268.8,43.8,45.8
12/15/2024 5:05,0,15.81,90.2,3142.8,270.4,45.4,47.4
12/15/2024 5:10,0,15.66,88.56,3139.8,264,42.6,44.6
12/15/2024 5:15,0,15.77,88.66,3155,262.8,45.4,47.4
12/15/2024 5:20,0,15.81,89.93,3158.6,269.4,46,48
12/15/2024 5:25,0,15.79,89.74,3150.2,269.8,44.4,46.4
12/15/2024 5:30,0,15.68,88.22,3153.8,267,43.6,45.6
12/15/2024 5:35,0,15.78,89.17,3172,269,45.4,47.4
12/15/2024 5:40,0,15.9,89.91,3180,268,45.2,47.2
12/15/2024 5:45,0,15.69,88.88,3176.4,270.4,44.2,46.2
12/15/2024 5:50,0,15.71,88.2,3184.4,264.6,45,47
